business_id,name,categories,avg_stars
Dfbg3m2ce1VUzJ5i6Z7IuA,Desnudo Tacos,"Mexican, Restaurants",4.0
LFs5jyYdXlzi0SpAYi1eSA,Maggiano's Little Italy,"Restaurants, Bars, Nightlife, Italian",4.0
F3iG7XyIsojEfFFMGXAVEQ,Papa John's Pizza,"Pizza, Restaurants",1.5
mvMih24zuSw_dZyU_LEY7g,Pizza Hut,"Restaurants, Chicken Wings, Pizza",2.5
IeUTC__Ec2erX1QSidsvNw,Subway,"Fast Food, Restaurants, Sandwiches",3.5
ajwGl90CuCZac3BKWY1ShQ,McDonald's,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",2.0
xd-AnaGxEMKT2zTEheP6_w,Tony Marcs 420 Eats,"American (New), Restaurants, American (Traditional)",4.0
vfqUUh_5KF3R7mz2XiNXGg,Tokyo Peking Asian Restaurants,"Japanese, Asian Fusion, Sushi Bars, Restaurants",5.0
w55IYhyLHUdsRlo_EvMmNQ,Table 89,"Salad, American (New), Pizza, Sandwiches, Restaurants",3.5
fp1AV66Uq9mo_9ZhZIIpcQ,Pizza Hut,"Fast Food, Chicken Wings, Restaurants, Pizza, Italian",2.0
TkrydveE1Laf_LHoKFALNw,Hunan Jiu Jia,"Food, Chinese, Restaurants",3.5
IeXVSmtOx0-kntCM_ZX0Zw,Chia Vera Health Bar,"Restaurants, Food, Specialty Food, Health Markets, Burgers, Salad",4.5
CiAZtA0C8AYcPdaaKt816A,Carl's Jr.,"Restaurants, Fast Food",3.0
d6_51PI94EC1C5sG9hi6HA,Timbers - Novat,"American (Traditional), Bars, Restaurants, Arts & Entertainment, Nightlife, Breakfast & Brunch",3.5
ElM8yyW45TAy4vjApwy7ZQ,Jadon Foods,"Gluten-Free, Bakeries, Restaurants, Food",5.0
A9IUE1W6TfVXfSC6LkrWCw,White Rabbit Cafe 2,"Restaurants, Filipino, Asian Fusion",4.0
VWnMgGRexZMGFs7IrQR_9Q,LV bar,"Wine Bars, Beer Bar, Restaurants, American (New), Nightlife, Bars, Salad",4.5
wHxe_D6_MPhMLNuHVLMIqQ,Don Tortaco,"Mexican, Restaurants, Fast Food",3.5
zZkzpVgMP8xaXg3uMscCjQ,PizzaRev,"Restaurants, Pizza",4.5
Lb9rNNCbF6gL5EM6znWJUA,Subway,"Restaurants, Sandwiches, Fast Food",2.0
09a8Mrd3STr4AxokKgbZHA,Sushi Avenue 2,"Restaurants, Sushi Bars",4.0
VGWEpMEkzQopS5lUNd06Sw,Miller's Ale House - Las Vegas,"Restaurants, Bars, Nightlife, American (New), Seafood, American (Traditional), Sports Bars",3.5
QcWSAa1R7jL-KQLzMSXF_A,Smoke N Sams,"Food, Barbeque, Food Stands, Restaurants, Street Vendors",2.0
vFfU79z5a5jQaQA_ka2ftA,Distill - A Local Bar,"Breakfast & Brunch, Bars, Food, American (New), Nightlife, Cocktail Bars, Restaurants, Desserts",4.0
DKXUkIrFnMUMF535gf-dPA,Frijoles & Frescas Grilled Tacos,"Event Planning & Services, Restaurants, Caterers, Mexican",4.5
hmgbkFngXKjpWqJItOPYpA,Tropical Smoothie Cafe - Excalibur,"Sandwiches, Restaurants, Fast Food",3.5
Wg91oE233AzNieNryRJYYg,Applebee's Grill + Bar,"Burgers, American (New), American (Traditional), Bars, Nightlife, Restaurants, Sports Bars, Steakhouses",2.5
ZKgRlphtyvKNl2sa0Mz2LA,Strip Jerky,"Food, Specialty Food, Restaurants",5.0
0OdZXIKQypu6vplpxFilsA,Kneaders Bakery & Cafe,"Restaurants, Desserts, Bakeries, Food, Sandwiches",3.5
7usumJrTK_qs2GbSd8zIvg,Wake Up Coffee Cafe,"Coffee & Tea, Food, Cafes, Breakfast & Brunch, Restaurants, Hot Dogs",4.0
I01C9Xg_SVyMrQSGIGeQ-g,California Pizza Kitchen,"Restaurants, Pizza",3.5
45513UgSlMqWV_yAPVkXrg,Verona Pizza,"Italian, Pizza, Restaurants",3.5
AoGCnRtwifZ2gTGHtg8KTw,Tokyo Sushi House,"Japanese, Sushi Bars, Restaurants",3.0
2Q9Mgkc7iFHuKoD_z7kJkQ,Lokuras,"Ice Cream & Frozen Yogurt, Shaved Ice, Mexican, Restaurants, Food, Desserts",4.5
mwE5uNVkxCXvEuVa1KQ_3g,Distill - A Local Bar,"Restaurants, Beer, Wine & Spirits, American (New), Food, Nightlife, Bars",4.0
5TY6bUT3bbl9aHItiIXXqw,Big Al's Oyster Bar,"Cajun/Creole, Restaurants, Seafood",3.5
QXA7hvR4mhGwwLCNyRRCXg,Sushi Culiacan,"Sushi Bars, Asian Fusion, Restaurants, Seafood, Mexican",3.5
uUlq6chIVb0I8AehlET5bQ,Jack in the Box,"Fast Food, Restaurants",3.0
avBS62WEvwWyoDWBXAlxmg,Subway,"Fast Food, Restaurants, Food, Sandwiches",4.5
yGd87bkFijZ6YHrHtW5maA,Basil Thai Fusion,"American (New), Thai, Restaurants, Italian",3.5
D_mVIUu5XyrHz-7U_z_pDg,Nove Italiano,"Italian, Restaurants",4.0
REM8BezFuK4MQ6j2k1I7-Q,Griddlecakes,"Restaurants, Breakfast & Brunch",3.0
3mpBYH3k_lfzycajGtkggQ,Sandwich Carvery 108,"Sandwiches, Food, Do-It-Yourself Food, Restaurants",4.0
oXozyDYGP0GhwBxVIP-NZg,Spicy Pickle,"Restaurants, Sandwiches",3.5
cQQbBa_Ls6Gr7Prv-qeZXw,Panera Bread,"Bakeries, Restaurants, Sandwiches, Food",4.0
eZCftIgMLs4cKvT9NWxx_A,Domino's Pizza,"Restaurants, Chicken Wings, Pizza, Sandwiches",3.0
eRQwgSQD1KyCmJk_PAGOXQ,Thai Cuisine,"Chinese, Restaurants, Thai",4.0
me17NOULVwu40AdKGYHIaQ,Rocco's Ny Pizza & Pasta,"Sandwiches, Restaurants, Italian, Pizza",4.0
OgnEQFk9HmF6jGVM3hUM2Q,Robertos Taco Shop,"Fast Food, Mexican, Restaurants",3.0
hpg2c5vFer85hvTnun2mNg,Kilawat,"Restaurants, American (New)",2.5
WcGKG8_rDVBVx6lSTlWiDA,Cafe Rio,"Food, Mexican, Restaurants",2.5
JdoBiBRgeS_KKaNaU1sofA,Dong Ting Spring,"Restaurants, Chinese",4.0
Y9oYrGHiMyRIRaudSWomzg,Teriyaki Madness,"Japanese, Restaurants, Asian Fusion, Hawaiian",3.5
cJMgxJ_GDg0a1KEkXPVaug,Nicolo's Cucina Italiana,"Restaurants, Italian",3.0
VeiL_tgw7dsl-7IcnOsh0g,Sushi Hiro,"Sushi Bars, Restaurants, Japanese",4.5
tH0wF3EPPgAY14lnmK1_Sg,Makai Pacific Island Grill,"Hawaiian, Barbeque, Asian Fusion, Restaurants",4.5
jovBGZAYjGRusbKPnePufA,Brown Rice Thai Kitchen,"Thai, Restaurants",4.0
vmg_VdqXVOVhUoacU2pfdw,The Bar @ Las Vegas Blvd & Wigwam,"Pubs, American (Traditional), Sports Bars, Bars, Restaurants, Nightlife",4.0
LUdKbgaPZ7F48u9zn7ozFg,Jack In the Box,"Burgers, Restaurants, Fast Food",2.5
IOEGLxXwCNiq4P-U359D7Q,Those Guys Pies,"Chicken Wings, Restaurants, Sandwiches, Pizza, Cheesesteaks",4.0
JTknlKD6bviJZLngdpbydw,Chicken Now,"Chicken Wings, Restaurants",3.0
-RJ216TTIghZshCkUlD1WQ,Sushi Takashi,"Restaurants, Japanese, Sushi Bars, Izakaya, Tapas/Small Plates",4.5
xRaHt2GknSD7yermc-fxYQ,Seven Seas Restaurant & Lounge,"Soul Food, Barbeque, Nightlife, Restaurants, Bars, Lounges",3.5
vl1aHp6pvnSmpoRQShWLjg,Lucille's Smokehouse Bar-B-Que,"Barbeque, Southern, Bars, Restaurants, Nightlife, American (Traditional), Smokehouse, Food",3.5
rvnTFEq7R2ZHg0_CYbBNFw,Village Seafood Buffet,"Restaurants, Buffets, Seafood",3.5
ZQBUBnccfiCzQTrEwNy-xw,All American Dave's Fit Food Truck,"Restaurants, Food Trucks, Health & Medical, Gluten-Free, Nutritionists, Food Delivery Services, Food",4.5
SbS0cnxFStrlidtwek6b6w,100℃,"Chinese, Taiwanese, Restaurants, Hot Pot",4.0
vtkJXE_Vdz27rWm6mfAw6Q,Cathay House Restaurant,"Restaurants, Chinese, Dim Sum, Cantonese, Asian Fusion",3.0
o5TNm5Iaah14KtOqjkGcxg,Goldfinger's Bar & Grille,"American (Traditional), Restaurants",2.5
7Ppgpgva-HP3o3h-xp2sWw,McDonald's,"American (Traditional), Restaurants, Food, Burgers, Coffee & Tea, Fast Food",2.0
EyoTq9dd4oKXhXND_imOzA,Sweet Poké,"Hawaiian, Asian Fusion, Sushi Bars, Restaurants",4.5
tv4nFQ-1a8Lm9B-tIpBjyg,Shin Yakitori House,"Restaurants, Japanese",3.5
MWyv0delstZwPcBkGzmwbA,Legends Sports Bar & Grill,"Restaurants, Nightlife, Bars, Sports Bars, American (Traditional)",4.0
Q6kZqLHy-ikjMW-lBCXnKA,Tequileria Grille,"Ethnic Food, Specialty Food, Imported Food, Restaurants, Tex-Mex, Food",2.0
WVvqV0cmNR3j7ChPoI74hQ,Soul Food Cafe,"Restaurants, Southern, Soul Food, Barbeque",3.5
vl5_S8mfd3qHgC7gYEOVJA,Kosher Gourmet,"Cantonese, Restaurants, Chinese, Kosher",3.0
_V0yJdpXrbdKzBDoVSJGWA,Silver Sevens Hotel and Casino,"Event Planning & Services, Casinos, Food, Hotels, American (Traditional), Restaurants, Do-It-Yourself Food, Arts & Entertainment, Hotels & Travel",2.5
7vWb1Afpm2arr8NCaE_EyQ,Ogden Mart,"American (Traditional), Food, Restaurants, Convenience Stores",4.5
uUEKndnFbHD8mVkGiirtpA,Tommy Bahama Restaurant | Bar | Store - Las Vegas,"Seafood, Hawaiian, American (New), Restaurants",4.0
m8u3fsbhfdXu7IhXeHBO5A,Villa Fresh Italian Kitchen,"Restaurants, Pizza",3.5
gwwVVeWXlEfwATjp2cGzuA,Philly Steak Express,"Restaurants, Salad, American (New), Burgers, Mediterranean",4.0
DLJCwHGtbAV31UQ1lnIjlw,Siena Italian Authentic Trattoria and Deli,"Italian, Delis, Bakeries, Food, Restaurants",3.5
0_7nMBuDAhs_J_DMuqdsyw,Hot Dog Heaven,"Restaurants, Hot Dogs",2.5
uiHyP1uOAzOPkOmnWhnW0A,Roberto's Taco Shop,"Mexican, Fast Food, Restaurants",3.0
jX23x5u_sYz8q2u0SMDwPA,Kang Thai,"Thai, Restaurants",4.5
McZz8few5LqWF37KZTK_QA,Giorgio Ristorante E Caffe,"Restaurants, Italian",3.5
Ej_TupknUGM1f3V5lDc9IA,Waffle Love - Vegas Truck,"Food, Restaurants, Waffles, Diners, Breakfast & Brunch, Food Trucks",4.5
NnV0LkIs5YjUSPzAP1nWXQ,Baan Thai Restaurant,"Restaurants, Asian Fusion, Thai, Vegetarian, Chinese, Vegan",4.0
IO3iTBH0rX-G7E7wAreRSQ,Angelina's Pizzeria - Eastern,"Burgers, Restaurants, Sandwiches, Italian, Pizza",3.0
V-0qRzBHKixmQgon_fW_AA,Makai Pacific Island Grill,"Food, American (Traditional), Barbeque, Hawaiian, Restaurants, Asian Fusion",4.5
ZBkLGYOvUlmmQvkvp7AHHA,Bazic Bar & Restoyaky,"Restaurants, Karaoke, Asian Fusion, Nightlife, Korean",3.5
qRhxldX3lnOMJUNlytYvfQ,Applebee's Grill + Bar,"Bars, Sports Bars, Restaurants, Chicken Wings, American (New), Burgers, Steakhouses, Nightlife, American (Traditional)",2.5
jBNK_385whkmX9M52vihMw,Burger King,"Fast Food, Restaurants, Burgers, Food",2.0
eRKVkDsHSFjaej3j7H0HyA,Taqueria La Herradura,"Mexican, Restaurants",5.0
axJFWAeEJ-kRs8LFy8ow1A,Cafe Hookah,"Mediterranean, Restaurants, Nightlife, Bars",3.5
BjS35X3-_-9TP-RyfzoC_Q,Hometown Eats,"Diners, Restaurants, American (Traditional), Breakfast & Brunch",4.0
g7fXSjIsE31hLIW5z60zfg,Coast 2 Coast Food Truck,"Delis, Food Trucks, Sandwiches, Restaurants, Food",3.5
BQJokxJ4y4s57i7Mn65pvA,Hecho en Vegas,"Restaurants, Mexican",3.5
qL1YorxvE_D-xoPF9f6f8w,Aracely's Sazón Colombian Restaurant,"Colombian, Restaurants, Specialty Food, Comfort Food, Ethnic Food, Food, Breakfast & Brunch, Seafood, Latin American",3.5
12P7GjIoq6oj7qCyJ_c0Ag,Little Caesars Pizza,"Restaurants, Pizza, Fast Food, Italian",2.0
VjvZik_uBJ-UyHdT2PdPPg,El Katracho Restaurant,"Latin American, Seafood, Restaurants",3.5
JCiglfoF09JqfR_gn6XYcA,Vit's Pizza,"Pizza, Italian, Restaurants",2.5
sYfHxCqHpIX2HnDhw0JRAA,Ohjah Japanese Steakhouse Sushi & Hibachi,"Japanese, Restaurants, Sushi Bars, Steakhouses",4.0
3Gw8YcAjo3AcMbtbX1TGSA,Jack In the Box,"Restaurants, Fast Food",3.0
mvLdgkwBzqllHWHwS-ZZgQ,Elia Authentic Greek Taverna,"Restaurants, Mediterranean, Greek",4.5
ZMcvBaSEtMrieTYpPBIzVQ,Don Tortaco Mexican Grill,"Mexican, Restaurants",5.0
a3jFGgoWbPkPGENEafiXwg,Binion's Cafe,"Cafes, Food, Arts & Entertainment, Steakhouses, Diners, Chinese, Casinos, Restaurants",3.0
L-q2fn9CDKmWX5c2hXUD5w,Baan Mae Toy,"Restaurants, Thai",4.5
O9LDS66IUKIBkGz_uFZKWQ,Chili's,"Tex-Mex, Bars, American (Traditional), Nightlife, Restaurants",3.0
4Bw9XffSa0AMy2SrNCS2KA,Sababa Mediterranean Grill,"Mediterranean, Middle Eastern, Kosher, Falafel, Restaurants",3.5
33Tr0eRki1Yamzleu4GMdw,Rosallie,"Macarons, Breakfast & Brunch, Food, Sandwiches, Specialty Food, French, Bakeries, Restaurants, Salad",4.5
TEwdAxcVKUzcG9pWl05BKw,Simon Kitchen and Bar,"American (New), Restaurants",4.0
2sx52lDoiEtef7xgPCaoBw,VegeNation,"Vegan, Wine Bars, Waffles, Vegetarian, Live/Raw Food, Sandwiches, Restaurants, Bars, Nightlife",4.5
vX-FwyJ7eINXn_Gn6CqMFg,Little Hong Kong,"Chinese, Restaurants, Filipino",3.0
Lzv68iVkRHstVvW3aXNWkA,Table Thai Bar & Bistro,"Food, Beer, Wine & Spirits, Restaurants, Thai, Vegan",4.5
glVCZzuFSnf24UGYsOl2Vw,PT's,"Nightlife, American (New), Pubs, Bars, Sports Bars, Restaurants, Beer, Wine & Spirits, Food",3.0
O6eGmbnnbh0Jq80AAIfzjA,Bay City Diner,"American (Traditional), Restaurants",3.5
5o7Fx7Iot-gLKVNegLLw-w,El Santaneco,"Mexican, Spanish, Restaurants, Latin American",3.5
SWZ_GqiaAoc4JoUOosF0mg,The Sugar Corner,"Ethnic Food, Bakeries, Breakfast & Brunch, Food, Cuban, Restaurants, Latin American, Specialty Food",4.0
FaoMHRFjrZvD9_RvYZX4oQ,Popeyes Louisiana Kitchen,"Chicken Wings, American (Traditional), Southern, Restaurants, Fast Food",2.5
QIn3PuGUkinSibUn-NsljQ,Roberto's Taco Shop,"Mexican, Restaurants, Fast Food",2.5
KPLFg6jWMXmRv5Dh1TKG6A,Anthony's Coal Fired Pizza,"Pizza, Restaurants",3.0
U8rsbHtpV60h8USOL-kaLg,Louis's Las Vegas,"Restaurants, American (New)",4.5
0ahghcpWQVkm4lEFwx-peA,Habib's Persian Cuisine,"Food, Desserts, Bars, Restaurants, Middle Eastern, Lounges, Nightlife, Persian/Iranian",3.5
4UvQ0BUbqlNPJbAggsi0eA,Delightful Chefs,"Asian Fusion, Custom Cakes, Food, Ethnic Food, Personal Chefs, Event Planning & Services, Restaurants, Caterers, Specialty Food",5.0
pidpBdWsOFfe7pWypBIoiQ,Miga Korean Bistro,"Korean, Hawaiian, Asian Fusion, Restaurants",4.0
PLVJCN2p1MIkeDzIbAx9kA,Denny's,"American (Traditional), Breakfast & Brunch, Restaurants, Diners",2.5
jLxeBgWhLRbII2ACkgH1Sg,La Belle Terre French Bakery And Café,"Restaurants, Breakfast & Brunch, Coffee & Tea, Cafes, Bakeries, Food, French",4.0
4EfiNcKSsafogIhAjwv0gg,Rustica Pizzeria,"Italian, Restaurants, Pizza",4.0
fIC9tXNgCfKCncoIujZC6w,Bonzai Bob's,"American (New), Restaurants",5.0
PAcD5cYk9yFtgUYvejaVfQ,Del Taco,"Mexican, Restaurants",2.0
h84tU6REsM1VzyUCP0Ss7Q,Baja Fresh,"Mexican, Restaurants",3.0
D1BrHyiZON7u_ef-qt4_Uw,Yagyu Yakiniku,"Korean, Japanese, Restaurants, Steakhouses, Seafood, Barbeque",3.5
w55sCX7ZkLIJNhl_RhwjEg,Paradise Cantina,"Mexican, Bars, Nightlife, Restaurants",3.0
hCsJv234v62MgdsUU1j8dQ,Big Sur Oyster Bar,"Seafood, Restaurants",3.5
Oh62VtPS3Jj9e6CNRxJh5w,Banana Leaf Café,"Cafes, Asian Fusion, American (Traditional), Chinese, Restaurants",2.5
NaZVUOzqk5b-l0mlki-9Og,Chun Fai Chinese Eatery,"Bubble Tea, Restaurants, Food, Soup, Thai, Chinese",3.5
hmRR9whRtnbV5LyIC3Bxrg,Da Pizzeria,"Pizza, Restaurants",3.5
qorLOp7fZ6X7GSQG_0wPdg,McDonald's,"Coffee & Tea, Burgers, Fast Food, Food, Restaurants",2.5
KyzPvdGPb2ubVlXJrS2QPA,Pizzalicious,"Restaurants, Sandwiches, Pizza, Food Delivery Services, Food, Italian",4.5
wqaLf9ShvoJxr7NScUrUFg,Baba's Tsi-bugan Restaurant,"Food, American (New), Food Delivery Services, Filipino, Restaurants",4.0
ltGrILPoBdhDPW7puGmI1Q,Brendan's,"Nightlife, Restaurants, Gastropubs, Bars, Pubs",3.0
uDeycmwCy26ALJHeG3SsEA,Buffalo Wild Wings,"American (Traditional), Restaurants, Sports Bars, Chicken Wings, Nightlife, Bars",3.0
upB0RQl-l529IVwgOpwOQQ,The Great Greek,"Greek, Restaurants, Mediterranean, Salad",4.5
SnZhLM5l_xonNL6FUNlUhA,Grand China,"Chinese, Restaurants",4.0
8SwMaPL6AJIs1ZPSZ3NJ4w,Forte European Tapas Bar and Bistro,"Tapas Bars, Modern European, Ukrainian, Nightlife, Spanish, Bars, Restaurants",4.0
sNiLWoLWRS56vWpgM6mQfg,Mia Kosher Bakery,"Bakeries, Food, Kosher, Restaurants, Sandwiches",5.0
aHpsw58YOeHnoQt8Vn5O2w,Espresso King Kafe 2,"Breakfast & Brunch, Restaurants, Sandwiches, Food, Coffee & Tea",3.0
2dUXkonsAdoXKAalTnmlig,Dimas Tacos,"Restaurants, Mexican",4.0
irzQzlXJPhny2QtMa-94-Q,Straight From Philly Steakout,"Cheesesteaks, Restaurants",4.5
WyZAeMGsjUE7OToI4Jdqfw,Chipotle Mexican Grill,"Mexican, Fast Food, Restaurants",3.5
